_module,_source_file,VALUE,QUANTITY,DETAILS
1U MulCho,1U+MULCHO+build+and+BOM.pdf,Eurorack 10 pin power connector,1,
1U MulCho,1U+MULCHO+build+and+BOM.pdf,"Schottky, power rectifier or 10R, optional - for reverse voltage protection...or not. BAT54GWX",2,
1U MulCho,1U+MULCHO+build+and+BOM.pdf,3.5MM SOCKET Kobiconn style,3,
1U MulCho,1U+MULCHO+build+and+BOM.pdf,2.54mm single row pin header strip,2x 3 pins,
1U MulCho,1U+MULCHO+build+and+BOM.pdf,3mm LED,1,
1U MulCho,1U+MULCHO+build+and+BOM.pdf,LL4148 diodes,2,
1U MulCho,1U+MULCHO+build+and+BOM.pdf,TL072 or TL082,1,
1U MulCho,1U+MULCHO+build+and+BOM.pdf,NFETJ309,2,
1U MulCho,1U+MULCHO+build+and+BOM.pdf,PFET J270,2,
1U MulCho,1U+MULCHO+build+and+BOM.pdf,10uF,2,
1U MulCho,1U+MULCHO+build+and+BOM.pdf,RL,1,
1U MulCho,1U+MULCHO+build+and+BOM.pdf,1k,1,
1U MulCho,1U+MULCHO+build+and+BOM.pdf,100k,5,
1U MulCho,1U+MULCHO+build+and+BOM.pdf,390k,1,
1U MulCho,1U+MULCHO+build+and+BOM.pdf,1M,2,
1U XOR,1U+XOR+Build+and+BOM.pdf,1k,1,
1U XOR,1U+XOR+Build+and+BOM.pdf,4k7,2,
1U XOR,1U+XOR+Build+and+BOM.pdf,22k,1,
1U XOR,1U+XOR+Build+and+BOM.pdf,BC847,2,
1U XOR,1U+XOR+Build+and+BOM.pdf,3.5MM mono SOCKET,3,
1U Diff-Rect,1u_diff-rect_build_and_bom.pdf,Eurorack 10 pin power connector,1,
1U Diff-Rect,1u_diff-rect_build_and_bom.pdf,"Schottky, power rectifier or 10R, optional - for reverse voltage protection...or not. BAT54GWX",2,
1U Diff-Rect,1u_diff-rect_build_and_bom.pdf,3.5MM SOCKET Kobiconn style,4,
1U Diff-Rect,1u_diff-rect_build_and_bom.pdf,2.54mm single row pin header strip,2x 3 pins,
1U Diff-Rect,1u_diff-rect_build_and_bom.pdf,3mm LED,2,
1U Diff-Rect,1u_diff-rect_build_and_bom.pdf,LL4148 diodes,2,
1U Diff-Rect,1u_diff-rect_build_and_bom.pdf,TL072 or TL082,1,
1U Diff-Rect,1u_diff-rect_build_and_bom.pdf,10uF,2,
1U Diff-Rect,1u_diff-rect_build_and_bom.pdf,RL,1,
1U Diff-Rect,1u_diff-rect_build_and_bom.pdf,1k,2,
1U Diff-Rect,1u_diff-rect_build_and_bom.pdf,100k,5,
